stop_id,stop_name,stop_lat,stop_lon,mode,mode_folder
vic:rail:ESD_EN3,Russell St,-37.75610678,144.91647859,train,1
vic:rail:ESD_EN4,Russell St,-37.75672728,144.91640443,train,1
vic:rail:ESD_PR1,Park & Ride 1,-37.75399604,144.9158568,train,1
vic:rail:ESD_PR2,Park and Ride 2,-37.75517685,144.9168906,train,1
vic:rail:FSS_CN1,Outer Concourse,-37.81787532,144.96712382,train,1
vic:rail:FSS_dDP1,Degraves St DP 1,-37.81738477,144.9658536,train,1
vic:rail:FSS_dDP2,Degraves St DP 2,-37.81775683,144.96600243,train,1
vic:rail:FSS_dDP3,Degraves St DP 3,-37.81794814,144.96612214,train,1
vic:rail:FSS_dDP4,Degraves St DP 4,-37.81806524,144.96611892,train,1
vic:rail:FSS_dDP5,Degraves St DP 5,-37.81824696,144.96620482,train,1
vic:rail:FSS_dDP6,Degraves St DP 6,-37.81838325,144.96626924,train,1
vic:rail:FSS_dDP7,Degraves St DP 7,-37.81854676,144.96634427,train,1
vic:rail:FSS_dDP8,Degraves St DP 8,-37.81868324,144.96642004,train,1
vic:rail:FSS_dDP9,Degraves St DP 9,-37.81884655,144.96648372,train,1
vic:rail:FSS_dEN1,Degraves St,-37.81800238,144.96613201,train,1
vic:rail:FSS_dEN2,Campbell Arcade,-37.81782438,144.96573929,train,1
vic:rail:FSS_dEN3,Campbell Arcade,-37.81770592,144.96618559,train,1
vic:rail:FSS_dEN4,Campbell Arcade,-37.81734835,144.96583188,train,1
vic:rail:FSS_DP1,Decision point 1,-37.81792466,144.96684982,train,1
vic:rail:FSS_DP2,Decision point 2,-37.81805175,144.96690314,train,1
vic:rail:FSS_DP3,Decision point 3,-37.81818784,144.9669562,train,1
vic:rail:FSS_DP4,Decision point 4,-37.81837876,144.96705321,train,1
vic:rail:FSS_DP5,Decision point 5,-37.81851505,144.96711763,train,1
vic:rail:FSS_DP6,Decision point 6,-37.81866975,144.96720427,train,1
